time,date,,News Headlines
4.27 pm , 30-01-2009,CNBC-TV19,'BBB' rating on Infosys affirmed  Outlook revised to stable 
8.36 am , 23-01-2009,Business Line,Ramalinga Raju's salary is lowest among peers!   
8.34 am , 23-01-2009,Business Line,"Wipro has Rs 5,831-cr liquid investments   "
2.45 pm , 19-01-2009,Moneycontrol.com,Hold Infosys Technologies: Indiabulls Securities  
1.59 pm , 17-01-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1330: Emkay Global  "
3.37 pm , 16-01-2009,CNBC-TV18,"Sugar, Fertilizer more convincing than IT space: Mathew  "
1.59 pm , 16-01-2009,CNBC-TV18,Infosys a better bet: VK Sharma  
2.55 pm , 07-04-2009,Moneycontrol.com,Infosys' Mar qtr PAT seen up at Rs 1496 cr: Religare  
1.16 pm , 07-04-2009,Moneycontrol.com,Infosys' Mar qtr PAT seen down at Rs 1579 cr: Angel  
11.00 am , 06-04-2009,CNBC-TV18,AS-11 not an overload but a necessity: Infosys  
11.09 am , 04-04-2009,Moneycontrol.com,Infosys Mar qtr PAT seen down 1% at Rs 1618 cr  
1.46 pm , 03-04-2009,Moneycontrol.com,Infy Mar '09 PAT seen down at Rs 1595 cr: Motilal Oswal  
1.14 pm , 03-04-2009,Moneycontrol.com,Infosys Mar'09 qtr PAT seen down 0.9% at Rs 1565 cr  
8.53 am , 26-03-2009,Business Line,Domestic IT cos may seek fewer H1Bs this year   
11.18 am , 25-03-2009,CNBC-TV18,S Mahadevan positive on Infosys Technologies  
4.52 pm , 20-03-2009,CNBC-TV18,LIC earmarks Rs 1400cr for IT foray  
4.23 pm , 17-03-2009,Moneycontrol.com,"Above Rs 1330, Infosys can touch Rs 1450: Gujral  "
11.44 am , 12-03-2009,Moneycontrol.com,"Reduce Infosys, target of Rs 1200: IIFL  "
8.42 am , 09-03-2009,Business Line,HCL Tech emerges lowest bidder for BSNL deal   
12.50 pm , 05-03-2009,Moneycontrol.com,"Buy Infosys, target of Rs 1354: Sharekhan  "
12.59 pm , 04-03-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1234: Reliance Money  "
8.42 am , 03-03-2009,Business Line,Infosys to absorb all campus hires in July   
9.11 am , 24-02-2009,CNBC-TV18,Infosys earmarks Rs 21 cr for new research venture  
3.43 pm , 20-02-2009,CNBC-TV18,Stocks nearing Oct '08 closing lows  
4.50 pm , 19-02-2009,CNBC-TV18,"IT cos use technology to boost staff morale, keep updated   "
8.56 pm , 18-02-2009,CNBC-TV18,See severe cut in '09 IT budgets: TPI  
4.50 pm , 17-02-2009,CNBC-TV18,Infosys can go down by another Rs 50-80: Mohindar  
12.57 pm , 16-04-2009,Moneycontrol.com,"Sell Infosys, target of Rs 1050: PINC Research  "
12.14 pm , 16-04-2009,Moneycontrol.com,"Hold Infosys Technologies, target of Rs 1330: Emkay  "
2.43 pm , 15-04-2009,Moneycontrol.com,See FY10 EPS between Rs 96.65-101.18: Infosys  
1.40 pm , 15-04-2009,CNBC-TV18,EBITDA margins for Infosys at 33.6%: CNBC-TV18 analysis  
11.40 am , 15-04-2009,CNBC-TV18,Stay away from Infosys: A Shah  
11.24 am , 15-04-2009,CNBC-TV18,Infosys Tech has support at Rs 1320-1300: Mathew  
11.01 am , 15-04-2009,press release,"Infosys net PAT was Rs 1613cr for qtr ended March 31, 2009  "
10.53 am , 15-04-2009,press release,"Infosys revenues were $ 1121mn for qtr ended March 31, 2009  "
10.47 am , 15-04-2009,CNBC-TV18,Infosys has support at Rs 1300: Sukhani  
10.32 am , 15-04-2009,CNBC-TV18,Infy disappoints  guidance turns negative  
9.14 am , 15-04-2009,CNBC-TV18,"Infosys Q4 net profit down 1.7% at Rs 1,613 cr  "
8.46 am , 15-04-2009,Business Line,IT-BPO headcount may stay nearly constant in this fiscal   
10.32 pm , 13-04-2009,CNBC-TV18,"Narayana Murthy, Ramodorai cheer Satyam-Tech Mahindra deal  "
8.02 pm , 13-04-2009,CNBC-TV18,Infosys Q4 net profit seen down 5.1% to Rs 1557.2 cr  
3.01 pm , 13-04-2009,Moneycontrol.com,Infosys Q4 net profit seen at Rs 1611.6 cr: Reliance Money  
12.36 pm , 13-04-2009,Moneycontrol.com,Infosys Q4 PAT seen at Rs 1534.1 cr: ICICIdirect.com  
10.50 am , 13-04-2009,CNBC-TV18,Infosys has resistance at Rs 1450-1460: Gujral  
9.05 pm , 09-04-2009,Moneycontrol.com,Infosys Mar PAT seen down 0.2% at Rs 1637 cr: Emkay  
8.23 pm , 09-04-2009,Moneycontrol.com,Infy Mar qtr PAT seen down Rs 1572 cr: P Lilladher  
12.57 pm , 09-04-2009,Moneycontrol.com,Infosys' Mar qtr PAT seen up at Rs 1578 cr: IIFL  
8.49 am , 10-06-2009,Business Line,Infosys BPO looks for rural partners  
5.23 pm , 09-06-2009,CNBC-TV18,"Bose bets on Infosys, TCS  "
6.33 pm , 05-06-2009,Moneycontrol.com,"Reduce Infosys Tech, target of Rs 1400: IIFL  "
8.53 am , 03-06-2009,Business Line,Microsoft sees strong Indian interest for Azure platform  
8.54 am , 22-05-2009,Business Line,IT vendors see more revenues from maintenance services  
11.37 am , 19-05-2009,CNBC-TV18,Stay with IT stocks: P Sekhar  
12.20 pm , 05-05-2009,CNBC-TV18,Buy Infosys Technologies on dips: Mohoni  
10.21 am , 04-05-2009,CNBC-TV18,"Religare bullish on Infosys, TCS  "
12.45 pm , 27-04-2009,CNBC-TV18,Hold Infosys: P Sekhar  
8.24 am , 27-04-2009,Business Line,Institutional investors up stake in top 3 IT cos   
5.01 pm , 21-04-2009,Moneycontrol.com,Exit Infosys Technologies: Bonanza  
8.17 pm , 20-04-2009,CNBC-TV18,IT sector needs to be visa independent: Narayana Murthy  
5.59 pm , 20-04-2009,Moneycontrol.com,Asit C. Mehta neutral on Infosys Techonologies  
11.34 am , 20-04-2009,CNBC-TV18,70% CEOs see more pain but confident about capex: Poll  
3.16 pm , 17-04-2009,Moneycontrol.com,"Reduce Infosys, target of Rs 1,246: Prabhudas Lilladher  "
11.22 am , 17-04-2009,Moneycontrol.com,"Reduce Infosys, target of Rs 1200: IIFL  "
5.59 pm , 16-04-2009,Moneycontrol.com,Motilal Oswal neutral on Infosys Technologies  
3.26 pm , 16-04-2009,Moneycontrol.com,Angel Broking neutral on Infosys Technologies  
2.51 pm , 16-04-2009,Moneycontrol.com,"Hold Infosys, target of Rs 1418: Sharekhan  "
1.58 pm , 16-04-2009,Moneycontrol.com,Infosys a market performer: Khandwala Securities  
11.31 am , 10-07-2009,Moneycontrol.com,Hold Infosys: Bonanza  
10.34 am , 10-07-2009,CNBC-TV18,"Infy nos beat street, but co stays guarded on FY10 outlook  "
9.00 am , 10-07-2009,CNBC-TV18,Infy meets Re guidance  Q1 PAT down 5% at Rs 1527cr (QoQ) 
8.56 am , 10-07-2009,Business Line,Nilekani bids adieu to Infosys  
1.15 pm , 09-07-2009,Moneycontrol.com,Infosys Q1 PAT seen at Rs 1405 Cr: Religare  
12.23 pm , 09-07-2009,CNBC-TV18,Infosys Q1 revenues seen down 5% to Rs Rs 5344 cr  
12.04 pm , 09-07-2009,CNBC-TV18,Infosys Q1 PAT seen down 13.3% to Rs 1399.2 cr   
9.30 am , 09-07-2009,Moneycontrol.com,Infosys Q1 PAT seen at Rs 1355.8 cr: Motilal Oswal  
4.12 pm , 08-07-2009,Moneycontrol.com,Infosys Jun qtr PAT seen down at Rs 1352 cr: Angel  
3.39 pm , 08-07-2009,Moneycontrol.com,"Infosys Jun qtr PAT seen at Rs 1,434 cr: Sharekhan  "
