'2009-02-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-03', 'Chakrabarty positive on Infosys, TCS  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-04', 'Infosys BPO gets +ve rating in Gartner\xef\xbf\xbds MarketScope  ', 'Finacle from Infosys named Leader in Global Bkng Platform  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-05', 'PNB sets milestone for the Indian Banking Industry  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-06','More Infy employees under performance lens this year'  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-09',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-10',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-11', 'Campus hiring: IT majors keeping off IITs?   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-12','IT vendors may see few mega deals till economy recovers'  , 'Narayana Murthy against job cuts, will reduce pay if needed  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-13',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-15',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-16', 'Global distress, local policy freeze a tricky mix: Nilekani  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-17', 'Infosys can go down by another Rs 50-80: Mohindar  ', 'Infy to offer price discounts to clients  ', 'Business recovery may take 2-4 years: Infosys   ', 'Clients budget likely to be down by around 8%: Infosys  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-18',See severe cut in '09 IT budgets: TPI  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-19', 'IT cos use technology to boost staff morale, keep updated   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-20',Stocks nearing Oct '08 closing lows  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-23',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-24', 'Infosys earmarks Rs 21 cr for new research venture  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-25',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-26',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-02-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-03', 'Infosys to absorb all campus hires in July   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-04', 'Hold Infosys, target of Rs 1234: Reliance Money  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-05', 'Buy Infosys, target of Rs 1354: Sharekhan  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-06',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-07',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-09', 'HCL Tech emerges lowest bidder for BSNL deal   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-10',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-12', 'Reduce Infosys, target of Rs 1200: IIFL  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-13',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-15',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-16',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-17', 'Above Rs 1330, Infosys can touch Rs 1450: Gujral  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-18',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-19',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-20', 'LIC earmarks Rs 1400cr for IT foray  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-21',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-22',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-23',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-24',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-25', 'S Mahadevan positive on Infosys Technologies  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-26', 'Domestic IT cos may seek fewer H1Bs this year   ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-27',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-28',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-29',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-30',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-03-31',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-01',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-02',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-03',Infosys Mar'09 qtr PAT seen down 0.9% at Rs 1565 cr  ,Infy Mar '09 PAT seen down at Rs 1595 cr: Motilal Oswal  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-04', 'Infosys Mar qtr PAT seen down 1% at Rs 1618 cr  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-05',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-06', 'AS-11 not an overload but a necessity: Infosys  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-07',Infosys' Mar qtr PAT seen down at Rs 1579 cr: Angel  ,Infosys' Mar qtr PAT seen up at Rs 1496 cr: Religare  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-08',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-09', 'Infy Mar qtr PAT seen down Rs 1572 cr: P Lilladher  ', 'Infosys Mar PAT seen down 0.2% at Rs 1637 cr: Emkay  ',Infosys' Mar qtr PAT seen up at Rs 1578 cr: IIFL  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-10',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-11',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-12',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-13', 'Infosys has resistance at Rs 1450-1460: Gujral  ', 'Infosys Q4 PAT seen at Rs 1534.1 cr: ICICIdirect.com  ', 'Infosys Q4 net profit seen at Rs 1611.6 cr: Reliance Money  ', 'Infosys Q4 net profit seen down 5.1% to Rs 1557.2 cr  ', 'Narayana Murthy, Ramodorai cheer Satyam-Tech Mahindra deal  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-14',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-15', 'IT-BPO headcount may stay nearly constant in this fiscal   ', 'Infosys Q4 net profit down 1.7% at Rs 1,613 cr  ', 'See FY10 EPS between Rs 96.65-101.18: Infosys  ', 'Infosys has support at Rs 1300: Sukhani  ', 'Infosys revenues were $ 1121mn for qtr ended March 31, 2009  ', 'Infosys net PAT was Rs 1613cr for qtr ended March 31, 2009  ', 'Infosys Tech has support at Rs 1320-1300: Mathew  ', 'Stay away from Infosys: A Shah  ', 'EBITDA margins for Infosys at 33.6%: CNBC-TV18 analysis  ', 'Infy disappoints  guidance turns negative  ',,,,,,,,,,,,,,,,,,,,,,,
'2009-04-16', 'Motilal Oswal neutral on Infosys Technologies  ', 'Hold Infosys, target of Rs 1418: Sharekhan  ', 'Angel Broking neutral on Infosys Technologies  ', 'Sell Infosys, target of Rs 1050: PINC Research  ', 'Hold Infosys Technologies, target of Rs 1330: Emkay  ', 'Infosys a market performer: Khandwala Securities  ',,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-17', 'Reduce Infosys, target of Rs 1200: IIFL  ', 'Reduce Infosys, target of Rs 1,246: Prabhudas Lilladher  ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'2009-04-18',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
